yearID,teamID,G,W,L
1998,SLN,163,83,79
1999,SLN,161,75,86
2000,SLN,162,95,67
2001,SLN,162,93,69
2002,SLN,162,97,65
2003,SLN,162,85,77
2004,SLN,162,105,57
2005,SLN,162,100,62
2006,SLN,161,83,78
2007,SLN,162,78,84
2008,SLN,162,86,76
2009,SLN,162,91,71
2010,SLN,162,86,76
2011,SLN,162,90,72
2012,SLN,162,88,74
2013,SLN,162,97,65
1998,TBA,162,63,99
1999,TBA,162,69,93
2000,TBA,161,69,92
2001,TBA,162,62,100
2002,TBA,161,55,106
2003,TBA,162,63,99
2004,TBA,161,70,91
2005,TBA,162,67,95
2006,TBA,162,61,101
2007,TBA,162,66,96
2008,TBA,162,97,65
2009,TBA,162,84,78
2010,TBA,162,96,66
2011,TBA,162,91,71
2012,TBA,162,90,72
2013,TBA,163,92,71
1972,TEX,154,54,100
1973,TEX,162,57,105
1974,TEX,161,84,76
1975,TEX,162,79,83
1976,TEX,162,76,86
1977,TEX,162,94,68
1978,TEX,162,87,75
1979,TEX,162,83,79
1980,TEX,163,76,85
1981,TEX,105,57,48
1982,TEX,162,64,98
1983,TEX,163,77,85
1984,TEX,161,69,92
1985,TEX,161,62,99
1986,TEX,162,87,75
1987,TEX,162,75,87
1988,TEX,161,70,91
1989,TEX,162,83,79
1990,TEX,162,83,79
1991,TEX,162,85,77
1992,TEX,162,77,85
1993,TEX,162,86,76
1994,TEX,114,52,62
1995,TEX,144,74,70
1996,TEX,163,90,72
1997,TEX,162,77,85
1998,TEX,162,88,74
1999,TEX,162,95,67
2000,TEX,162,71,91
2001,TEX,162,73,89
2002,TEX,162,72,90
2003,TEX,162,71,91
2004,TEX,162,89,73
2005,TEX,162,79,83
2006,TEX,162,80,82
2007,TEX,162,75,87
2008,TEX,162,79,83
2009,TEX,162,87,75
2010,TEX,162,90,72
2011,TEX,162,96,66
2012,TEX,162,93,69
2013,TEX,163,91,72
1977,TOR,161,54,107
1978,TOR,161,59,102
1979,TOR,162,53,109
1980,TOR,162,67,95
1981,TOR,106,37,69
1982,TOR,162,78,84
1983,TOR,162,89,73
1984,TOR,163,89,73
1985,TOR,161,99,62
1986,TOR,163,86,76
1987,TOR,162,96,66
1988,TOR,162,87,75
1989,TOR,162,89,73
1990,TOR,162,86,76
1991,TOR,162,91,71
1992,TOR,162,96,66
1993,TOR,162,95,67
1994,TOR,115,55,60
1995,TOR,144,56,88
1996,TOR,162,74,88
1997,TOR,162,76,86
1998,TOR,163,88,74
1999,TOR,162,84,78
2000,TOR,162,83,79
2001,TOR,162,80,82
2002,TOR,162,78,84
2003,TOR,162,86,76
2004,TOR,161,67,94
2005,TOR,162,80,82
2006,TOR,162,87,75
2007,TOR,162,83,79
2008,TOR,162,86,76
2009,TOR,162,75,87
2010,TOR,162,85,77
2011,TOR,162,81,81
2012,TOR,162,73,89
2013,TOR,162,74,88
2005,WAS,162,81,81
2006,WAS,162,71,91
2007,WAS,162,73,89
2008,WAS,161,59,102
2009,WAS,162,59,103
2010,WAS,162,69,93
2011,WAS,161,80,81
2012,WAS,162,98,64
2013,WAS,162,86,76
1970,WS2,162,70,92
1971,WS2,159,63,96
